rank	name	childcount	min	max	mode	median	mean	stddev
genus	Methanothermus	1	2	2	2	2	2	0
genus	Campylobacter	28	1	3	3	3	2.86	0.52
genus	Petrotoga	1	2	2	2	2	2	0
genus	Natrinema	1	3	3	3	3	3	0
genus	Pasteurella	5	6	6	6	6	6	0
genus	Corallococcus	1	3	3	3	3	3	0
genus	Hyphomonas	1	1	1	1	1	1	0
genus	Hirschia	1	2	2	2	2	2	0
genus	Clostridium IV	1	1	1	1	1	1	0
genus	Alicycliphilus	2	3	3	3	3	3	0
genus	Desulfocapsa	1	3	3	3	3	3	0
genus	Chryseobacterium	1	2	2	2	2	2	0
genus	Desulfurivibrio	1	2	2	2	2	2	0
genus	Methanomassiliicoccus	3	1	1	1	1	1	0
genus	Muricauda	1	2	2	2	2	2	0
genus	GpVII	2	3	3	3	3	3	0
genus	Alcanivorax	2	2	3		2.5	2.5	0.5
genus	Mobiluncus	1	2	2	2	2	2	0
genus	Isosphaera	1	3	3	3	3	3	0
genus	Azoarcus	3	4	5	4	4	4.33	0.47
genus	Thermobifida	1	4	4	4	4	4	0
genus	Delftia	2	5	5	5	5	5	0
genus	Hippea	1	2	2	2	2	2	0
genus	Citrobacter	2	7	8		7.5	7.5	0.5
genus	Anoxybacillus	1	8	8	8	8	8	0
genus	Olsenella	1	1	1	1	1	1	0
genus	Desulfobacca	1	1	1	1	1	1	0
genus	Flavobacterium	7	3	6	6	6	5.14	1.12
genus	Methanosarcina	4	3	3	3	3	3	0
genus	Zymomonas	7	2	3	3	3	2.71	0.45
genus	Brachybacterium	1	3	3	3	3	3	0
genus	Roseiflexus	2	2	2	2	2	2	0
genus	Propionivibrio	1	2	2	2	2	2	0
genus	Caldivirga	1	1	1	1	1	1	0
genus	Pectobacterium	5	7	7	7	7	7	0
genus	Mycoplasma	48	1	2	1	1	1.44	0.5
genus	Clostridium sensu stricto	30	6	14	9	9	9.43	1.61
genus	Desulfurella	1	2	2	2	2	2	0
genus	Thermofilum	2	1	1	1	1	1	0
genus	Methanothermobacter	2	2	2	2	2	2	0
genus	Methanotorris	1	2	2	2	2	2	0
genus	Listeria	45	4	6	6	6	5.84	0.42
genus	Arcobacter	5	4	5	5	5	4.8	0.4
